,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27115,Minnesota,Pine,0.26,70,0.20,66,0.26,84,0.25,85,0.38,82,0.00,48
27117,Minnesota,Pipestone,-0.14,38,0.19,64,0.09,62,0.06,67,-0.07,38,-0.04,18
27119,Minnesota,Polk,-0.01,44,-0.02,43,0.10,65,-0.02,42,0.10,64,0.01,56
27121,Minnesota,Pope,0.15,64,0.03,51,-0.09,22,-0.04,31,-0.29,12,-0.03,20
27123,Minnesota,Ramsey,-0.01,43,0.41,76,-0.24,7,-0.09,17,0.19,70,0.03,66
27125,Minnesota,Red Lake,0.00,47,0.36,74,0.25,81,-0.05,25,-0.01,47,-0.06,8
27127,Minnesota,Redwood,-0.19,31,0.36,73,0.08,59,0.09,72,-0.03,44,-0.03,24
27129,Minnesota,Renville,0.00,46,0.55,84,0.12,70,0.05,65,0.13,66,-0.02,34
27131,Minnesota,Rice,-0.33,19,-0.17,32,-0.12,18,-0.03,34,0.00,49,0.06,78
27133,Minnesota,Rock,0.38,79,0.03,50,-0.07,26,-0.12,12,-0.35,6,-0.02,33
27135,Minnesota,Roseau,0.36,77,-0.14,33,-0.02,39,-0.06,22,-0.15,26,0.02,59
27137,Minnesota,St. Louis,0.28,71,0.52,83,0.10,66,-0.01,47,0.03,54,0.00,47
27139,Minnesota,Scott,-0.67,2,-0.48,6,-0.36,6,-0.05,26,-0.37,5,0.01,55
27141,Minnesota,Sherburne,-0.37,16,-0.37,13,-0.10,21,-0.05,27,-0.22,16,0.02,61
27143,Minnesota,Sibley,-0.19,33,-0.20,27,-0.07,27,0.27,86,-0.11,30,0.09,86
27145,Minnesota,Stearns,-0.17,37,-0.01,46,-0.06,32,-0.11,13,0.02,51,0.05,76
27147,Minnesota,Steele,-0.36,17,-0.01,45,-0.08,25,-0.12,11,-0.06,40,0.05,77
27149,Minnesota,Stevens,-0.29,22,-0.40,11,-0.11,20,0.00,51,-0.39,4,-0.05,13
27151,Minnesota,Swift,0.51,82,0.09,57,0.17,77,0.04,60,0.22,73,-0.04,17
27153,Minnesota,Todd,0.10,60,0.22,67,0.22,80,0.11,75,0.29,75,0.00,45
27155,Minnesota,Traverse,0.00,47,-0.24,22,0.10,64,-0.03,40,0.16,68,-0.07,6
27157,Minnesota,Wabasha,-0.30,21,-0.59,2,-0.13,15,-0.08,19,-0.25,15,0.03,64
27159,Minnesota,Wadena,0.31,73,0.59,85,0.14,71,0.02,56,0.37,81,-0.01,37
27161,Minnesota,Waseca,-0.39,13,0.06,54,0.02,48,-0.06,20,0.00,48,0.04,74
27163,Minnesota,Washington,-0.50,6,-0.57,3,-0.48,2,-0.15,4,-0.44,2,0.02,60
27165,Minnesota,Watonwan,0.23,69,0.04,53,0.18,79,0.11,74,0.21,72,0.01,53
27167,Minnesota,Wilkin,0.21,67,-0.38,12,-0.03,38,-0.05,23,-0.11,31,-0.05,12
27169,Minnesota,Winona,-0.37,15,0.07,56,-0.04,37,-0.01,44,-0.21,18,0.12,87
27171,Minnesota,Wright,-0.54,4,-0.56,5,-0.22,8,-0.02,43,-0.40,3,0.00,46
27173,Minnesota,Yellow Medicine,-0.42,11,-0.11,35,0.11,69,0.05,61,-0.08,36,-0.01,40
