,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.12,58,-0.41,8,-0.10,18,0.21,80,0.35,77,-0.03,21
27003,Minnesota,Anoka,-0.40,17,0.11,56,0.08,67,-0.09,18,-0.12,28,0.08,85
27005,Minnesota,Becker,0.67,75,0.12,58,0.32,83,-0.05,29,0.18,73,0.00,44
27007,Minnesota,Beltrami,1.13,84,0.00,45,0.60,85,0.03,56,0.64,83,-0.01,37
27009,Minnesota,Benton,0.01,52,0.42,79,-0.22,7,0.04,60,-0.05,37,-0.01,35
27011,Minnesota,Big Stone,0.77,81,0.00,44,-0.02,38,-0.06,26,0.00,45,0.02,59
27013,Minnesota,Blue Earth,-0.40,18,-0.15,27,0.04,56,-0.06,27,-0.23,13,0.00,48
27015,Minnesota,Brown,-0.32,22,-0.35,13,0.25,82,-0.10,14,-0.12,27,-0.03,19
27017,Minnesota,Carlton,0.13,60,0.34,78,0.04,54,-0.02,42,0.01,53,-0.02,33
27019,Minnesota,Carver,-0.90,1,-0.09,33,-0.08,23,-0.13,9,-0.56,1,0.03,67
27021,Minnesota,Cass,0.89,83,0.12,59,0.24,80,0.18,77,0.65,84,-0.04,13
27023,Minnesota,Chippewa,-0.57,7,-0.15,26,0.06,60,-0.04,32,-0.13,26,-0.06,4
27025,Minnesota,Chisago,-0.06,41,0.24,68,0.13,72,-0.05,30,-0.05,36,0.00,40
27027,Minnesota,Clay,0.05,53,0.20,66,-0.11,17,-0.09,17,-0.19,18,-0.03,24
27029,Minnesota,Clearwater,0.30,68,-0.42,4,0.02,51,0.23,84,0.68,85,-0.04,14
27031,Minnesota,Cook,,999,,999,,999,,999,,999,,999
27033,Minnesota,Cottonwood,0.39,70,0.28,74,0.02,49,-0.08,22,-0.09,32,-0.03,23
27035,Minnesota,Crow Wing,0.00,45,0.18,63,-0.01,42,0.04,59,0.11,66,0.03,68
27037,Minnesota,Dakota,-0.50,9,-0.03,39,-0.27,3,-0.16,6,-0.29,6,-0.04,15
27039,Minnesota,Dodge,-0.16,35,-0.09,31,0.04,57,0.02,52,-0.21,14,-0.01,34
27041,Minnesota,Douglas,-0.14,38,-0.22,20,-0.14,13,-0.09,16,-0.02,40,-0.01,39
27043,Minnesota,Faribault,-0.20,32,0.21,67,-0.10,20,0.09,67,0.01,52,0.04,70
27045,Minnesota,Fillmore,-0.24,28,-0.36,11,-0.19,8,0.09,66,0.01,51,0.02,57
27047,Minnesota,Freeborn,-0.04,42,0.30,75,0.22,79,-0.04,33,0.00,46,0.05,77
27049,Minnesota,Goodhue,-0.16,36,0.04,47,0.25,81,-0.08,21,-0.08,33,0.02,58
27051,Minnesota,Grant,0.00,46,0.14,60,-0.05,28,0.22,83,0.08,61,0.00,46
27053,Minnesota,Hennepin,-0.23,30,0.17,62,-0.50,1,-0.20,3,0.08,62,-0.02,31
27055,Minnesota,Houston,0.08,55,0.09,51,-0.09,21,-0.10,12,-0.26,10,-0.05,8
27057,Minnesota,Hubbard,-0.28,25,-0.26,19,0.02,50,-0.06,25,0.32,75,-0.05,6
27059,Minnesota,Isanti,-0.38,20,0.49,82,0.16,77,0.02,54,0.00,47,-0.04,18
27061,Minnesota,Itasca,0.17,64,0.05,48,0.13,71,-0.07,24,0.17,72,0.00,47
27063,Minnesota,Jackson,-0.83,2,-0.36,12,-0.06,25,-0.03,37,-0.20,16,0.01,56
27065,Minnesota,Kanabec,0.16,63,0.14,61,0.05,58,0.00,48,0.45,81,-0.07,3
27067,Minnesota,Kandiyohi,-0.28,24,-0.38,9,0.04,53,-0.13,8,0.02,54,-0.01,38
27069,Minnesota,Kittson,0.00,46,0.24,70,0.06,61,0.14,73,0.01,50,0.05,74
27071,Minnesota,Koochiching,0.75,79,-0.05,37,-0.04,33,0.05,62,0.36,79,0.03,63
27073,Minnesota,Lac qui Parle,0.65,74,-0.90,1,-0.06,26,0.17,76,-0.08,35,-0.01,36
27075,Minnesota,Lake,0.77,80,0.47,81,-0.05,30,-0.06,28,-0.14,23,-0.02,26
27077,Minnesota,Lake of the Woods,0.00,46,0.60,83,0.03,52,0.23,85,0.05,60,0.06,79
27079,Minnesota,Le Sueur,-0.48,11,-0.20,22,-0.04,32,0.01,51,-0.01,42,0.00,43
27081,Minnesota,Lincoln,0.12,59,-0.14,29,-0.06,27,0.06,64,-0.09,31,-0.03,22
27083,Minnesota,Lyon,0.00,44,-0.14,28,0.13,73,0.00,49,-0.30,5,0.01,53
27085,Minnesota,McLeod,-0.44,16,-0.41,6,-0.13,15,-0.01,43,0.00,49,-0.02,30
27087,Minnesota,Mahnomen,1.50,85,-0.41,7,0.15,75,0.03,55,0.55,82,-0.03,25
27089,Minnesota,Marshall,-0.71,4,-0.16,25,-0.01,39,0.22,82,0.17,70,-0.09,1
27091,Minnesota,Martin,-0.02,43,0.43,80,0.10,70,-0.05,31,0.00,48,0.02,60
27093,Minnesota,Meeker,0.11,57,-0.38,10,0.35,84,-0.01,47,-0.05,38,-0.02,29
27095,Minnesota,Mille Lacs,0.53,73,-0.30,16,0.10,69,0.03,57,0.35,78,0.03,64
27097,Minnesota,Morrison,0.15,62,0.76,84,0.16,76,-0.01,46,0.12,68,-0.02,27
27099,Minnesota,Mower,-0.28,26,0.25,72,-0.03,34,0.04,58,0.03,56,0.01,54
27101,Minnesota,Murray,0.69,76,0.19,64,0.01,45,0.19,79,-0.08,34,0.07,82
27103,Minnesota,Nicollet,-0.46,14,-0.09,32,-0.18,9,-0.08,20,-0.35,4,0.00,45
27105,Minnesota,Nobles,-0.48,12,0.24,69,0.04,55,-0.02,40,0.11,64,0.08,84
27107,Minnesota,Norman,0.74,77,-0.22,21,0.05,59,0.10,71,0.11,67,0.01,49
27109,Minnesota,Olmsted,-0.44,15,-0.35,14,-0.23,5,-0.39,1,-0.29,7,0.03,65
27111,Minnesota,Otter Tail,-0.18,33,-0.05,36,0.07,66,0.04,61,0.04,58,-0.05,9
27113,Minnesota,Pennington,-0.09,39,-0.03,40,-0.02,37,-0.14,7,0.09,63,-0.04,17
27115,Minnesota,Pine,0.75,78,0.11,55,0.06,64,0.09,68,0.39,80,-0.04,11
