,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,0.51,71,0.28,73,-0.03,35,-0.03,35,-0.15,22,0.00,41
27119,Minnesota,Polk,0.24,66,-0.06,35,0.21,78,0.06,63,0.11,65,-0.04,16
27121,Minnesota,Pope,0.14,61,-0.09,30,-0.17,10,0.15,74,-0.01,43,-0.04,12
27123,Minnesota,Ramsey,0.06,54,0.19,65,-0.12,16,-0.17,4,0.17,71,-0.02,32
27125,Minnesota,Red Lake,0.00,46,0.09,52,-0.09,22,0.10,70,0.04,57,0.03,62
27127,Minnesota,Redwood,0.10,56,-0.31,15,-0.01,41,-0.11,11,0.04,59,0.04,69
27129,Minnesota,Renville,0.22,65,0.31,77,0.08,68,0.08,65,-0.01,44,0.07,83
27131,Minnesota,Rice,-0.49,10,0.10,54,-0.22,6,-0.01,44,-0.24,12,0.05,75
27133,Minnesota,Rock,-0.15,37,-0.02,42,0.00,43,-0.16,5,-0.24,11,0.05,76
27135,Minnesota,Roseau,-0.07,40,-0.04,38,0.07,65,0.14,72,-0.13,25,-0.03,20
27137,Minnesota,St. Louis,0.29,67,0.02,46,-0.17,11,-0.12,10,0.14,69,0.07,81
27139,Minnesota,Scott,-0.67,5,-0.43,3,-0.08,24,-0.02,38,-0.41,2,0.01,55
27141,Minnesota,Sherburne,-0.33,21,0.10,53,0.06,63,-0.02,39,-0.26,8,0.00,42
27143,Minnesota,Sibley,-0.53,8,-0.29,17,0.02,47,0.18,78,-0.04,39,-0.02,28
27145,Minnesota,Stearns,-0.46,13,0.07,50,-0.10,19,-0.03,34,-0.02,41,0.01,50
27147,Minnesota,Steele,-0.73,3,-0.27,18,-0.05,29,-0.10,13,-0.16,19,-0.05,7
27149,Minnesota,Stevens,0.00,46,0.00,43,-0.29,2,0.21,81,-0.16,21,0.01,52
27151,Minnesota,Swift,-0.23,29,-0.47,2,0.06,62,0.01,50,-0.13,24,0.05,78
27153,Minnesota,Todd,0.35,69,0.11,57,0.15,74,0.17,75,0.23,74,-0.04,10
27155,Minnesota,Traverse,,999,,999,,999,,999,,999,,999
27157,Minnesota,Wabasha,-0.25,27,0.91,85,-0.16,12,-0.03,36,-0.16,20,0.04,71
27159,Minnesota,Wadena,0.83,82,0.25,71,-0.27,4,-0.07,23,0.33,76,-0.07,2
27161,Minnesota,Waseca,-0.16,34,-0.08,34,0.02,46,-0.09,15,-0.12,29,0.01,51
27163,Minnesota,Washington,-0.65,6,-0.18,24,-0.13,14,-0.24,2,-0.41,3,0.03,66
27165,Minnesota,Watonwan,-0.21,31,-0.02,41,0.00,44,0.10,69,0.02,55,0.04,72
27167,Minnesota,Wilkin,0.00,46,0.07,49,-0.03,36,-0.08,19,-0.21,15,-0.06,5
27169,Minnesota,Winona,-0.31,23,-0.41,5,-0.01,40,0.02,53,-0.19,17,0.02,61
27171,Minnesota,Wright,-0.39,19,-0.20,23,-0.05,31,-0.02,41,-0.26,9,0.06,80
27173,Minnesota,Yellow Medicine,0.51,72,0.31,76,0.02,48,-0.01,45,-0.11,30,0.05,73
