,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27115,Minnesota,Pine,0.40,73,0.06,53,-0.10,20,0.17,83,0.44,82,0.04,71
27117,Minnesota,Pipestone,0.46,77,0.11,60,-0.01,39,-0.03,35,-0.15,23,0.13,87
27119,Minnesota,Polk,0.26,65,-0.05,39,0.42,86,0.00,46,0.06,61,-0.02,29
27121,Minnesota,Pope,0.33,69,-0.22,22,-0.09,22,0.13,77,-0.25,12,-0.06,7
27123,Minnesota,Ramsey,0.05,55,0.30,77,-0.13,13,-0.11,12,0.43,81,0.02,62
27125,Minnesota,Red Lake,-0.08,46,-0.51,1,0.02,46,-0.01,41,0.00,54,-0.02,33
27127,Minnesota,Redwood,-0.06,48,-0.42,3,0.04,54,0.07,70,-0.10,32,0.09,85
27129,Minnesota,Renville,0.76,82,-0.20,24,0.19,82,0.05,66,-0.01,52,0.03,70
27131,Minnesota,Rice,-0.55,6,0.10,57,-0.40,1,-0.10,16,0.08,62,0.02,65
27133,Minnesota,Rock,0.44,75,0.03,50,-0.14,10,-0.06,25,-0.08,38,-0.01,43
27135,Minnesota,Roseau,-0.19,38,0.15,64,-0.04,34,0.04,61,-0.17,21,-0.04,15
27137,Minnesota,St. Louis,0.35,70,0.16,67,0.04,53,-0.12,11,0.22,74,-0.04,18
27139,Minnesota,Scott,-0.64,3,-0.10,36,-0.24,5,-0.03,31,-0.40,3,0.01,56
27141,Minnesota,Sherburne,-0.46,11,0.35,81,0.22,84,-0.02,38,-0.23,17,0.02,59
27143,Minnesota,Sibley,-0.29,27,0.19,69,-0.03,37,0.20,85,0.00,55,-0.04,19
27145,Minnesota,Stearns,-0.52,8,0.11,59,-0.07,24,-0.07,21,-0.12,28,-0.01,41
27147,Minnesota,Steele,-0.40,13,-0.40,4,0.03,47,-0.14,8,-0.09,35,0.03,68
27149,Minnesota,Stevens,0.42,74,-0.16,28,-0.12,16,0.16,81,-0.40,4,-0.02,32
