,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.38,78,-0.07,39,0.05,54,0.22,83,0.39,83,0.01,56
27003,Minnesota,Anoka,-0.23,25,-0.32,14,-0.15,12,-0.02,36,-0.12,30,0.03,68
27005,Minnesota,Becker,0.36,76,0.19,65,0.09,66,-0.04,34,0.11,66,-0.04,15
27007,Minnesota,Beltrami,1.21,86,0.53,83,0.25,84,0.08,72,0.37,80,-0.02,34
27009,Minnesota,Benton,-0.12,40,0.08,56,0.07,63,0.00,44,-0.01,48,0.04,70
27011,Minnesota,Big Stone,0.00,47,0.32,71,0.11,71,-0.13,10,-0.01,49,-0.03,32
27013,Minnesota,Blue Earth,-0.22,27,0.08,57,0.03,42,-0.15,5,-0.09,37,0.05,72
27015,Minnesota,Brown,-0.11,41,-0.16,32,0.00,37,-0.17,3,-0.22,15,-0.03,27
27017,Minnesota,Carlton,-0.06,42,0.00,45,0.06,59,0.12,75,0.02,57,-0.04,17
27019,Minnesota,Carver,-0.78,1,-0.87,1,-0.48,1,-0.14,6,-0.47,1,0.01,52
27021,Minnesota,Cass,1.15,85,0.43,79,0.22,82,0.16,80,0.50,85,-0.02,35
27023,Minnesota,Chippewa,0.20,66,0.07,54,0.04,47,-0.07,26,0.02,56,-0.03,23
27025,Minnesota,Chisago,-0.42,9,-0.01,44,-0.01,36,-0.06,29,-0.15,23,0.02,62
27027,Minnesota,Clay,-0.19,34,0.05,52,-0.11,16,-0.08,21,-0.23,13,0.01,54
27029,Minnesota,Clearwater,0.61,83,0.14,63,0.37,86,0.18,82,0.67,86,0.02,63
27031,Minnesota,Cook,0.00,47,0.11,61,-0.11,17,0.13,76,0.00,50,-0.09,3
27033,Minnesota,Cottonwood,-0.01,45,0.24,68,-0.08,26,-0.01,40,0.06,61,-0.03,31
27035,Minnesota,Crow Wing,0.03,57,-0.10,36,0.02,41,-0.11,15,0.10,64,-0.04,13
27037,Minnesota,Dakota,-0.49,7,-0.48,6,-0.38,6,-0.12,12,-0.19,18,0.07,78
27039,Minnesota,Dodge,-0.18,36,-0.48,7,-0.18,10,-0.02,38,-0.24,9,-0.01,42
27041,Minnesota,Douglas,-0.18,35,-0.17,28,-0.09,21,-0.23,2,-0.28,6,0.00,46
27043,Minnesota,Faribault,0.47,81,0.10,60,0.10,69,0.01,49,0.02,55,0.01,55
27045,Minnesota,Fillmore,-0.14,39,-0.32,15,0.02,40,0.00,47,-0.14,26,0.02,65
27047,Minnesota,Freeborn,-0.20,30,0.34,75,0.07,62,0.02,52,0.17,71,0.08,82
27049,Minnesota,Goodhue,0.08,58,-0.18,25,-0.08,25,0.01,48,-0.09,36,0.12,87
27051,Minnesota,Grant,0.32,74,0.44,80,0.07,61,-0.01,39,-0.14,27,-0.04,22
27053,Minnesota,Hennepin,-0.21,28,-0.23,21,-0.46,2,-0.14,7,0.09,63,0.02,60
27055,Minnesota,Houston,-0.51,5,-0.40,9,-0.13,15,-0.14,8,-0.29,5,0.02,64
27057,Minnesota,Hubbard,0.18,65,0.04,51,0.06,60,0.04,61,0.15,70,-0.02,36
27059,Minnesota,Isanti,0.01,56,-0.09,37,-0.02,34,-0.01,42,0.03,59,0.05,75
27061,Minnesota,Itasca,0.40,80,0.34,74,0.12,72,0.07,69,0.25,77,0.00,50
27063,Minnesota,Jackson,-0.41,12,-0.05,42,0.02,39,0.00,46,-0.24,10,-0.04,14
27065,Minnesota,Kanabec,0.11,61,0.29,69,0.19,79,0.15,78,0.23,74,0.00,49
27067,Minnesota,Kandiyohi,-0.22,26,0.01,46,-0.02,35,-0.07,27,0.00,51,0.06,77
27069,Minnesota,Kittson,0.00,47,-0.32,16,0.09,65,0.02,50,-0.24,11,-0.07,6
27071,Minnesota,Koochiching,0.33,75,0.52,82,0.08,64,0.24,85,0.25,76,-0.08,4
27073,Minnesota,Lac qui Parle,-0.19,32,-0.25,20,0.05,57,0.07,68,-0.10,32,-0.08,5
27075,Minnesota,Lake,-0.28,23,-0.34,13,-0.08,22,0.04,58,-0.03,44,-0.11,1
27077,Minnesota,Lake of the Woods,0.00,47,-0.30,17,0.04,50,0.08,70,-0.08,38,-0.04,20
27079,Minnesota,Le Sueur,-0.33,20,-0.20,23,-0.15,14,0.05,62,-0.09,35,0.10,84
27081,Minnesota,Lincoln,0.29,72,-0.29,18,-0.05,30,0.06,64,-0.16,22,-0.10,2
27083,Minnesota,Lyon,-0.21,29,-0.14,34,0.04,48,-0.07,23,-0.15,24,-0.04,12
27085,Minnesota,McLeod,-0.42,10,0.03,49,0.03,43,0.03,57,-0.20,17,0.08,79
27087,Minnesota,Mahnomen,1.50,87,1.26,87,0.64,87,0.16,81,0.97,87,-0.03,30
27089,Minnesota,Marshall,0.08,59,-0.17,31,-0.06,28,0.03,55,-0.02,46,-0.04,21
27091,Minnesota,Martin,-0.26,24,-0.02,43,0.10,67,-0.04,33,-0.05,41,-0.01,44
27093,Minnesota,Meeker,-0.45,8,-0.17,27,0.04,46,0.16,79,-0.18,19,0.00,48
27095,Minnesota,Mille Lacs,0.99,84,0.51,81,0.13,75,0.22,84,0.40,84,0.01,51
27097,Minnesota,Morrison,0.13,62,-0.07,40,0.10,68,0.00,43,0.14,68,-0.01,43
27099,Minnesota,Mower,0.00,55,0.29,70,0.04,49,0.03,56,0.15,69,0.01,58
27101,Minnesota,Murray,-0.35,18,0.09,59,-0.07,27,0.02,53,-0.14,28,-0.05,10
27103,Minnesota,Nicollet,-0.54,3,-0.26,19,-0.23,9,-0.13,9,-0.23,12,-0.03,28
27105,Minnesota,Nobles,0.15,63,0.33,72,0.23,83,0.10,73,0.38,82,-0.03,25
27107,Minnesota,Norman,0.21,68,0.69,86,0.11,70,0.03,54,0.17,72,-0.04,16
27109,Minnesota,Olmsted,-0.39,14,-0.59,4,-0.43,4,-0.30,1,-0.22,14,-0.01,38
27111,Minnesota,Otter Tail,0.00,53,-0.17,30,-0.03,32,-0.03,35,-0.10,34,0.05,76
27113,Minnesota,Pennington,0.00,54,-0.18,26,0.04,45,-0.12,14,-0.03,45,-0.01,40
27115,Minnesota,Pine,0.26,70,0.42,77,0.19,80,0.25,86,0.38,81,0.08,81
