,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,-0.14,38,0.33,73,0.05,56,0.08,71,-0.07,39,-0.03,26
27119,Minnesota,Polk,-0.01,44,-0.12,35,0.05,58,-0.09,18,0.04,60,0.02,59
27121,Minnesota,Pope,0.15,64,0.05,53,-0.10,18,-0.02,37,-0.27,8,-0.01,39
27123,Minnesota,Ramsey,-0.01,43,0.13,62,-0.26,8,-0.09,20,0.33,79,0.05,71
27125,Minnesota,Red Lake,0.00,47,0.39,76,0.19,78,-0.10,16,-0.05,40,-0.05,9
27127,Minnesota,Redwood,-0.19,31,0.43,78,-0.04,31,0.06,63,-0.03,43,-0.06,8
27129,Minnesota,Renville,0.00,46,0.56,84,0.05,53,0.06,65,0.02,58,0.05,74
27131,Minnesota,Rice,-0.33,19,-0.19,24,-0.15,13,0.04,59,0.01,54,0.08,80
27133,Minnesota,Rock,0.38,79,0.01,47,-0.09,19,-0.12,13,-0.18,21,-0.01,41
27135,Minnesota,Roseau,0.36,77,-0.15,33,0.04,51,-0.07,24,-0.04,42,-0.05,11
27137,Minnesota,St. Louis,0.28,71,0.21,66,0.05,55,-0.01,41,0.11,65,-0.03,29
27139,Minnesota,Scott,-0.67,2,-0.58,5,-0.42,5,-0.07,25,-0.28,7,0.10,83
27141,Minnesota,Sherburne,-0.37,16,-0.36,12,-0.17,11,-0.08,22,-0.18,20,0.03,66
27143,Minnesota,Sibley,-0.19,33,-0.17,29,-0.05,29,0.29,87,-0.11,31,0.01,57
27145,Minnesota,Stearns,-0.17,37,0.02,48,0.04,52,-0.10,17,0.01,53,0.05,73
27147,Minnesota,Steele,-0.36,17,-0.08,38,0.04,44,-0.13,11,-0.10,33,0.12,86
27149,Minnesota,Stevens,-0.29,22,-0.44,8,-0.08,24,0.00,45,-0.42,2,-0.04,19
27151,Minnesota,Swift,0.51,82,0.23,67,0.22,81,0.06,66,0.11,67,-0.04,18
27153,Minnesota,Todd,0.10,60,0.07,55,0.18,77,0.14,77,0.20,73,0.00,47
27155,Minnesota,Traverse,0.00,47,-0.21,22,0.01,38,0.11,74,0.09,62,-0.06,7
27157,Minnesota,Wabasha,-0.30,21,-0.39,11,-0.02,33,-0.04,32,-0.20,16,0.01,53
27159,Minnesota,Wadena,0.31,73,0.57,85,0.30,85,0.04,60,0.23,75,-0.02,33
27161,Minnesota,Waseca,-0.39,13,0.04,50,0.13,73,-0.09,19,0.00,52,0.04,69
27163,Minnesota,Washington,-0.50,6,-0.64,2,-0.45,3,-0.15,4,-0.34,3,0.03,67
27165,Minnesota,Watonwan,0.23,69,0.18,64,0.14,76,0.07,67,0.28,78,0.00,45
27167,Minnesota,Wilkin,0.21,67,-0.40,10,-0.08,23,-0.05,31,-0.15,25,-0.03,24
27169,Minnesota,Winona,-0.37,15,0.08,58,-0.09,20,-0.06,30,-0.13,29,0.11,85
27171,Minnesota,Wright,-0.54,4,-0.62,3,-0.32,7,-0.06,28,-0.31,4,0.02,61
27173,Minnesota,Yellow Medicine,-0.42,11,-0.06,41,0.13,74,0.02,51,-0.02,47,-0.01,37
