,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.15,60,0.27,74,-0.09,26,0.08,70,0.37,80,-0.01,32
27003,Minnesota,Anoka,-0.28,28,0.28,76,-0.04,36,-0.03,38,-0.15,24,0.04,72
27005,Minnesota,Becker,0.66,77,-0.30,10,0.07,58,0.04,57,0.07,61,-0.01,31
27007,Minnesota,Beltrami,1.13,86,0.07,54,0.40,86,0.08,73,0.62,85,-0.01,30
27009,Minnesota,Benton,-0.01,50,0.24,66,-0.12,19,0.00,49,-0.04,44,0.04,75
27011,Minnesota,Big Stone,0.17,62,-0.24,18,-0.08,27,-0.08,21,-0.08,37,-0.04,15
27013,Minnesota,Blue Earth,-0.25,35,-0.13,31,-0.01,41,-0.11,14,-0.17,22,0.03,65
27015,Minnesota,Brown,-0.28,29,-0.39,7,0.08,68,-0.10,17,-0.19,20,0.01,48
27017,Minnesota,Carlton,0.23,64,0.11,56,0.00,43,-0.06,27,0.08,62,-0.01,40
27019,Minnesota,Carver,-0.88,1,-0.15,26,-0.23,7,-0.14,5,-0.41,3,0.04,73
27021,Minnesota,Cass,1.03,84,0.56,85,0.02,45,0.20,84,0.59,84,-0.01,38
27023,Minnesota,Chippewa,0.41,74,0.15,61,0.27,84,0.08,68,-0.01,50,0.03,69
27025,Minnesota,Chisago,-0.33,24,0.28,75,0.07,63,-0.07,26,-0.06,42,0.08,87
27027,Minnesota,Clay,-0.02,49,0.24,68,0.02,48,-0.09,18,-0.18,21,-0.02,23
27029,Minnesota,Clearwater,0.87,82,0.01,48,0.27,85,0.43,87,0.62,87,0.03,66
27031,Minnesota,Cook,-0.22,36,-0.10,37,-0.16,13,0.00,50,0.13,68,-0.11,2
27033,Minnesota,Cottonwood,0.14,59,0.29,77,0.09,71,-0.10,16,0.04,55,-0.04,17
27035,Minnesota,Crow Wing,-0.09,43,0.34,80,-0.05,32,-0.03,40,0.11,64,0.01,53
27037,Minnesota,Dakota,-0.53,8,0.00,47,-0.24,6,-0.11,13,-0.24,14,0.03,63
27039,Minnesota,Dodge,-0.30,26,-0.30,11,0.08,70,-0.05,29,-0.24,12,-0.01,37
27041,Minnesota,Douglas,-0.21,37,-0.14,30,-0.07,30,-0.10,15,-0.22,16,0.04,74
27043,Minnesota,Faribault,-0.08,45,0.17,62,-0.04,35,0.07,64,0.14,69,0.01,54
27045,Minnesota,Fillmore,-0.45,11,-0.43,6,-0.17,11,-0.03,37,-0.08,36,0.00,44
27047,Minnesota,Freeborn,-0.09,44,0.41,81,0.12,75,0.00,47,0.21,74,0.00,45
27049,Minnesota,Goodhue,-0.34,23,-0.24,19,0.03,50,-0.09,20,-0.09,34,0.00,47
27051,Minnesota,Grant,0.33,69,-0.05,42,0.02,49,0.07,66,-0.01,49,0.05,78
27053,Minnesota,Hennepin,-0.27,32,0.23,65,-0.20,9,-0.13,9,0.12,65,0.02,55
27055,Minnesota,Houston,-0.44,12,-0.07,41,-0.23,8,-0.14,6,0.05,56,-0.02,24
27057,Minnesota,Hubbard,-0.01,51,0.00,45,-0.02,40,-0.03,35,0.32,79,-0.01,36
27059,Minnesota,Isanti,-0.35,21,0.34,79,0.07,62,-0.05,30,-0.06,40,0.05,77
27061,Minnesota,Itasca,0.34,71,0.05,52,0.08,67,-0.04,32,0.30,77,-0.01,29
27063,Minnesota,Jackson,0.24,65,0.18,63,-0.09,25,-0.01,42,-0.35,6,0.00,42
27065,Minnesota,Kanabec,0.01,53,0.02,49,-0.07,29,0.13,79,0.46,83,0.05,76
27067,Minnesota,Kandiyohi,-0.25,34,-0.20,20,0.04,51,-0.15,4,0.07,60,0.05,79
27069,Minnesota,Kittson,0.02,54,-0.17,24,0.11,74,0.06,62,-0.13,25,-0.13,1
27071,Minnesota,Koochiching,0.33,70,0.22,64,-0.05,33,0.20,85,0.45,82,-0.06,8
27073,Minnesota,Lac qui Parle,0.71,79,-0.71,1,0.07,59,0.10,76,-0.11,30,-0.05,12
27075,Minnesota,Lake,0.15,61,0.76,86,0.08,65,-0.12,11,-0.02,48,-0.08,5
27077,Minnesota,Lake of the Woods,-0.30,27,-0.30,12,-0.01,42,0.16,82,0.10,63,-0.06,9
27079,Minnesota,Le Sueur,-0.56,6,-0.17,22,-0.12,21,0.00,45,-0.11,31,0.03,67
27081,Minnesota,Lincoln,-0.05,46,-0.33,9,0.14,77,-0.11,12,-0.24,13,-0.03,18
27083,Minnesota,Lyon,-0.19,38,-0.10,38,0.02,47,-0.05,28,-0.12,27,0.01,49
27085,Minnesota,McLeod,-0.43,13,-0.44,5,-0.10,24,0.02,53,-0.12,28,0.03,71
27087,Minnesota,Mahnomen,1.50,87,0.46,82,0.71,87,0.26,86,0.62,86,-0.02,26
27089,Minnesota,Marshall,-0.42,15,0.06,53,0.05,55,0.07,65,-0.02,47,-0.02,27
27091,Minnesota,Martin,-0.05,47,-0.10,36,0.06,56,0.00,44,0.02,54,0.01,50
27093,Minnesota,Meeker,0.03,55,-0.30,13,0.08,69,0.04,58,-0.13,26,0.05,80
27095,Minnesota,Mille Lacs,0.89,83,0.24,69,0.25,82,0.09,74,0.31,78,0.05,81
27097,Minnesota,Morrison,0.32,68,0.54,83,0.09,72,0.04,59,0.14,71,0.01,52
27099,Minnesota,Mower,-0.35,20,0.27,73,0.05,52,0.08,69,0.14,70,0.03,62
27101,Minnesota,Murray,0.56,75,0.11,57,0.07,61,0.03,55,-0.26,10,-0.01,39
27103,Minnesota,Nicollet,-0.28,30,-0.30,14,-0.31,2,-0.15,3,-0.36,5,-0.02,25
27105,Minnesota,Nobles,-0.58,5,-0.34,8,-0.14,14,0.07,63,0.12,66,-0.01,35
27107,Minnesota,Norman,0.66,78,0.54,84,0.16,80,0.09,75,0.07,59,-0.06,11
27109,Minnesota,Olmsted,-0.43,14,-0.18,21,-0.33,1,-0.35,1,-0.26,9,-0.04,16
27111,Minnesota,Otter Tail,-0.02,48,0.09,55,-0.11,23,-0.01,43,0.00,51,-0.01,41
27113,Minnesota,Pennington,0.18,63,0.13,60,-0.06,31,-0.04,33,-0.05,43,-0.09,3
27115,Minnesota,Pine,0.72,80,0.27,72,0.02,46,0.15,81,0.44,81,0.07,84
