,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,0.08,57,-0.02,43,0.00,44,-0.03,36,-0.09,33,0.06,83
27119,Minnesota,Polk,0.80,81,-0.11,35,0.26,83,0.00,48,-0.02,46,-0.03,21
27121,Minnesota,Pope,0.32,67,0.00,46,-0.12,17,-0.01,41,-0.23,15,0.02,57
27123,Minnesota,Ramsey,0.00,52,0.31,78,-0.12,20,-0.08,22,0.27,76,0.02,58
27125,Minnesota,Red Lake,0.38,73,-0.56,3,0.15,79,0.15,80,0.06,57,-0.06,10
27127,Minnesota,Redwood,-0.28,31,-0.57,2,0.07,60,0.04,56,-0.07,38,0.02,60
27129,Minnesota,Renville,1.05,85,0.26,71,0.06,57,0.00,46,0.06,58,0.00,46
27131,Minnesota,Rice,-0.50,10,0.12,58,-0.30,3,-0.09,19,0.02,53,-0.01,34
27133,Minnesota,Rock,-0.16,41,-0.10,39,-0.12,18,-0.08,24,-0.08,35,-0.01,33
27135,Minnesota,Roseau,-0.17,40,-0.12,34,-0.08,28,0.06,61,-0.21,17,-0.08,4
27137,Minnesota,St. Louis,0.34,72,0.25,70,0.05,53,-0.13,10,0.22,75,-0.05,13
27139,Minnesota,Scott,-0.75,3,-0.02,44,-0.26,4,-0.08,23,-0.42,1,0.06,82
27141,Minnesota,Sherburne,-0.38,17,0.12,59,0.11,73,-0.03,39,-0.30,8,0.07,85
27143,Minnesota,Sibley,-0.12,42,-0.14,29,-0.02,39,0.18,83,0.01,52,0.02,61
27145,Minnesota,Stearns,-0.37,18,0.02,50,-0.14,15,-0.07,25,-0.15,23,0.03,68
27147,Minnesota,Steele,-0.38,16,-0.29,15,-0.19,10,-0.14,8,-0.11,29,0.02,56
27149,Minnesota,Stevens,-0.31,25,-0.13,32,-0.03,38,0.00,51,-0.37,4,-0.07,7
27151,Minnesota,Swift,-0.25,33,-0.27,16,0.14,78,-0.04,31,-0.06,39,-0.03,20
27153,Minnesota,Todd,0.06,56,0.02,51,-0.03,37,0.12,78,0.16,72,0.03,70
27155,Minnesota,Traverse,0.57,76,-0.26,17,0.13,76,0.12,77,-0.04,45,-0.07,6
27157,Minnesota,Wabasha,-0.34,22,-0.07,40,-0.11,22,-0.14,7,-0.21,18,-0.03,19
27159,Minnesota,Wadena,0.29,66,0.77,87,0.05,54,0.08,71,0.20,73,0.02,59
27161,Minnesota,Waseca,-0.51,9,-0.12,33,0.08,64,-0.04,34,-0.06,41,-0.02,28
27163,Minnesota,Washington,-0.69,4,-0.15,27,-0.24,5,-0.21,2,-0.41,2,0.03,64
27165,Minnesota,Watonwan,0.13,58,-0.52,4,0.08,66,0.08,72,0.13,67,0.00,43
27167,Minnesota,Wilkin,-0.80,2,-0.17,23,-0.05,34,0.02,54,-0.25,11,-0.05,14
27169,Minnesota,Winona,-0.36,19,-0.14,28,-0.16,12,0.04,60,-0.11,32,0.01,51
27171,Minnesota,Wright,-0.56,7,-0.15,25,-0.13,16,0.01,52,-0.31,7,0.08,86
27173,Minnesota,Yellow Medicine,-0.18,39,0.24,67,0.22,81,0.07,67,-0.19,19,-0.02,22
