,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.30,68,0.42,78,0.07,66,0.13,77,0.34,80,-0.01,41
27003,Minnesota,Anoka,-0.31,25,0.00,47,0.09,68,-0.05,33,-0.22,13,0.12,87
27005,Minnesota,Becker,0.45,76,0.18,66,0.19,79,0.02,48,0.02,51,0.02,58
27007,Minnesota,Beltrami,1.06,85,0.51,81,0.47,86,0.20,84,0.45,83,0.03,60
27009,Minnesota,Benton,0.00,52,0.10,59,0.03,57,0.05,55,-0.04,41,0.03,63
27011,Minnesota,Big Stone,-0.07,42,-0.24,21,-0.12,16,-0.11,14,0.00,47,-0.05,19
27013,Minnesota,Blue Earth,-0.41,15,0.18,67,0.10,71,-0.16,5,-0.14,23,0.07,80
27015,Minnesota,Brown,-0.19,33,-0.20,28,-0.15,12,-0.12,12,-0.17,20,0.02,59
27017,Minnesota,Carlton,0.31,69,0.32,74,0.16,78,-0.04,39,0.02,50,0.00,46
27019,Minnesota,Carver,-0.77,3,-0.70,1,-0.37,1,-0.09,19,-0.51,1,0.10,81
27021,Minnesota,Cass,0.90,84,0.88,86,0.21,80,0.24,86,0.59,85,-0.01,39
27023,Minnesota,Chippewa,0.28,66,0.03,49,0.06,65,-0.02,46,0.09,64,-0.02,35
27025,Minnesota,Chisago,-0.40,17,-0.09,41,-0.07,26,-0.07,22,-0.13,24,0.10,83
27027,Minnesota,Clay,-0.02,46,0.33,75,0.04,61,-0.10,16,-0.18,19,-0.02,33
27029,Minnesota,Clearwater,1.50,86,0.52,82,0.34,85,0.13,78,0.60,86,-0.03,31
27031,Minnesota,Cook,0.69,82,0.25,70,-0.09,22,-0.20,3,0.04,56,-0.15,1
27033,Minnesota,Cottonwood,0.14,57,0.20,68,0.14,75,-0.06,28,0.13,70,-0.06,10
27035,Minnesota,Crow Wing,0.14,58,0.09,57,0.01,51,-0.06,26,0.09,63,0.02,53
27037,Minnesota,Dakota,-0.51,10,-0.21,27,-0.34,2,-0.10,17,-0.27,9,0.11,86
27039,Minnesota,Dodge,-0.35,22,-0.29,16,-0.20,9,-0.10,15,-0.27,8,0.00,44
27041,Minnesota,Douglas,-0.15,37,-0.12,36,-0.11,19,-0.09,20,-0.24,11,-0.01,38
27043,Minnesota,Faribault,-0.04,43,0.06,52,-0.18,10,0.11,72,0.05,59,-0.02,36
27045,Minnesota,Fillmore,-0.36,21,-0.22,24,-0.21,8,-0.04,37,-0.05,39,0.02,54
27047,Minnesota,Freeborn,-0.33,24,0.24,69,0.01,52,0.06,61,0.15,74,0.05,70
27049,Minnesota,Goodhue,-0.38,18,-0.06,43,-0.03,37,-0.06,25,-0.08,34,0.03,62
27051,Minnesota,Grant,0.32,71,-0.14,34,0.02,53,0.10,70,-0.08,33,0.01,47
27053,Minnesota,Hennepin,-0.26,29,0.00,46,-0.24,7,-0.12,11,0.01,49,0.11,84
27055,Minnesota,Houston,-0.87,1,-0.19,30,-0.27,5,-0.15,7,0.02,52,0.04,67
27057,Minnesota,Hubbard,0.17,62,0.09,56,-0.05,28,0.05,56,0.24,77,-0.03,30
27059,Minnesota,Isanti,-0.02,47,0.03,51,-0.01,43,-0.05,32,-0.08,35,0.05,71
27061,Minnesota,Itasca,0.83,83,0.40,76,0.09,69,-0.02,44,0.27,79,0.01,48
27063,Minnesota,Jackson,0.13,55,0.27,72,-0.04,33,-0.05,31,-0.19,17,-0.03,25
27065,Minnesota,Kanabec,-0.21,31,-0.01,45,0.07,67,0.07,63,0.36,81,0.02,56
27067,Minnesota,Kandiyohi,-0.35,23,-0.19,29,-0.01,44,-0.15,6,0.05,58,0.06,74
27069,Minnesota,Kittson,0.41,75,-0.27,18,-0.06,27,0.13,79,-0.06,37,-0.14,2
27071,Minnesota,Koochiching,0.34,72,0.43,79,0.00,47,0.10,71,0.58,84,-0.05,17
27073,Minnesota,Lac qui Parle,0.14,59,-0.52,5,-0.11,20,0.05,58,-0.03,43,-0.09,4
27075,Minnesota,Lake,-0.03,45,0.48,80,-0.04,32,-0.06,27,-0.06,38,-0.06,11
27077,Minnesota,Lake of the Woods,0.00,50,-0.24,23,0.01,50,0.35,87,0.08,61,-0.09,3
27079,Minnesota,Le Sueur,-0.29,27,-0.27,19,-0.03,36,-0.01,47,-0.11,30,0.02,55
27081,Minnesota,Lincoln,0.40,74,-0.45,6,-0.11,18,0.09,67,-0.19,18,-0.06,12
27083,Minnesota,Lyon,-0.54,9,0.14,63,-0.03,35,-0.10,18,-0.04,40,-0.04,20
27085,Minnesota,McLeod,-0.12,39,-0.10,40,-0.01,45,-0.02,45,-0.15,22,0.01,51
27087,Minnesota,Mahnomen,1.50,86,1.30,87,0.55,87,0.16,81,0.81,87,-0.03,23
27089,Minnesota,Marshall,-0.64,5,-0.37,13,-0.04,31,0.08,65,0.04,55,-0.03,24
27091,Minnesota,Martin,-0.02,49,0.10,58,0.15,77,0.03,51,0.14,73,-0.01,42
27093,Minnesota,Meeker,-0.18,34,-0.10,39,0.00,46,0.04,53,-0.16,21,0.02,57
27095,Minnesota,Mille Lacs,0.58,79,0.41,77,0.33,84,0.09,68,0.23,76,0.03,66
27097,Minnesota,Morrison,-0.04,44,0.13,61,0.23,81,-0.03,41,0.10,65,0.06,72
27099,Minnesota,Mower,-0.10,41,0.16,65,0.15,76,0.06,60,0.12,68,0.07,78
27101,Minnesota,Murray,0.15,60,-0.21,25,-0.09,21,0.08,64,-0.12,28,0.00,45
27103,Minnesota,Nicollet,-0.46,14,-0.24,22,-0.05,30,-0.13,9,-0.33,6,-0.02,32
27105,Minnesota,Nobles,-0.13,38,-0.11,38,0.04,63,0.12,76,0.13,69,-0.03,27
27107,Minnesota,Norman,0.59,80,0.59,84,0.04,59,-0.03,42,0.08,62,-0.05,18
27109,Minnesota,Olmsted,-0.47,13,-0.37,12,-0.27,6,-0.37,1,-0.23,12,-0.04,22
27111,Minnesota,Otter Tail,0.11,54,-0.38,10,-0.14,14,-0.02,43,-0.02,46,0.02,52
27113,Minnesota,Pennington,0.13,56,0.15,64,0.00,49,-0.07,23,0.04,57,-0.06,16
27115,Minnesota,Pine,0.29,67,0.58,83,0.27,83,0.19,83,0.38,82,0.06,76
