,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,0.26,65,-0.06,44,0.00,48,0.02,50,-0.02,45,-0.01,40
27119,Minnesota,Polk,0.54,78,0.09,55,0.24,82,0.02,49,0.07,60,0.04,68
27121,Minnesota,Pope,0.25,63,-0.12,37,-0.08,24,0.11,75,-0.26,10,0.01,49
27123,Minnesota,Ramsey,0.02,53,0.25,71,-0.03,38,-0.08,21,0.22,75,0.07,79
27125,Minnesota,Red Lake,-0.58,6,-0.66,2,0.12,72,0.04,54,0.03,53,-0.09,5
27127,Minnesota,Redwood,0.60,81,0.07,53,0.04,62,0.09,69,-0.03,44,-0.06,13
27129,Minnesota,Renville,0.37,73,0.00,48,-0.05,29,0.05,59,0.01,48,-0.03,29
27131,Minnesota,Rice,-0.37,20,0.07,54,-0.04,34,-0.06,24,-0.06,36,0.00,43
27133,Minnesota,Rock,0.17,61,-0.16,31,-0.16,11,-0.04,35,-0.20,15,-0.04,21
27135,Minnesota,Roseau,0.32,70,-0.34,14,0.02,55,0.08,66,-0.12,26,-0.06,14
27137,Minnesota,St. Louis,0.26,64,0.69,85,0.10,70,-0.11,13,0.14,72,0.03,61
27139,Minnesota,Scott,-0.73,4,-0.55,4,-0.31,4,-0.04,38,-0.42,2,0.10,82
27141,Minnesota,Sherburne,-0.30,26,-0.16,32,-0.02,40,-0.03,40,-0.30,7,0.07,77
27143,Minnesota,Sibley,-0.16,36,-0.27,20,0.04,58,0.07,62,-0.03,42,0.04,69
27145,Minnesota,Stearns,-0.40,16,0.11,60,-0.11,17,-0.13,8,-0.12,27,0.01,50
27147,Minnesota,Steele,-0.17,35,-0.09,42,-0.01,42,-0.12,10,-0.10,32,0.03,65
27149,Minnesota,Stevens,-0.77,2,-0.29,17,0.05,64,0.11,73,-0.41,4,-0.07,9
27151,Minnesota,Swift,-0.48,12,-0.16,33,-0.03,39,0.03,52,0.10,66,-0.06,15
27153,Minnesota,Todd,-0.02,48,0.03,50,0.12,73,0.18,82,0.12,67,-0.01,37
27155,Minnesota,Traverse,0.00,50,-0.44,7,0.03,56,0.05,57,0.04,54,-0.08,7
27157,Minnesota,Wabasha,-0.49,11,-0.38,11,-0.07,25,-0.16,4,-0.21,14,0.03,64
27159,Minnesota,Wadena,0.49,77,0.32,73,0.12,74,0.15,80,0.26,78,-0.02,34
27161,Minnesota,Waseca,-0.58,7,-0.31,15,0.02,54,-0.04,34,-0.10,31,-0.03,28
27163,Minnesota,Washington,-0.55,8,-0.62,3,-0.32,3,-0.22,2,-0.41,3,0.11,85
27165,Minnesota,Watonwan,-0.11,40,-0.21,26,-0.12,15,0.22,85,0.13,71,-0.03,26
27167,Minnesota,Wilkin,-0.25,30,-0.41,8,-0.09,23,-0.05,30,-0.20,16,-0.07,8
27169,Minnesota,Winona,-0.19,32,0.13,62,0.04,60,-0.06,29,-0.13,25,0.06,75
27171,Minnesota,Wright,-0.38,19,-0.41,9,-0.14,13,-0.04,36,-0.38,5,0.06,73
27173,Minnesota,Yellow Medicine,-0.28,28,-0.12,35,-0.02,41,0.11,74,-0.11,29,-0.09,6
