,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.43,76,0.42,79,-0.01,46,0.10,71,0.41,82,0.06,73
27003,Minnesota,Anoka,-0.35,22,-0.18,25,-0.02,40,-0.04,34,-0.21,17,0.07,79
27005,Minnesota,Becker,0.36,71,0.08,59,0.11,72,-0.03,38,0.06,62,0.05,69
27007,Minnesota,Beltrami,1.01,86,0.74,85,0.43,86,0.17,84,0.49,83,-0.03,26
27009,Minnesota,Benton,-0.11,39,0.17,66,0.09,69,0.03,53,-0.10,29,0.05,68
27011,Minnesota,Big Stone,0.00,48,-0.10,32,-0.10,22,-0.01,46,0.00,49,-0.03,25
27013,Minnesota,Blue Earth,-0.35,21,0.37,75,0.22,83,-0.17,3,-0.12,27,0.03,59
27015,Minnesota,Brown,-0.25,30,-0.39,10,-0.17,11,-0.12,14,-0.19,18,-0.02,32
27017,Minnesota,Carlton,0.42,75,0.33,74,0.08,65,-0.03,40,0.05,58,0.02,53
27019,Minnesota,Carver,-0.77,2,-0.53,3,-0.41,1,-0.08,18,-0.51,1,0.05,70
27021,Minnesota,Cass,0.95,84,0.76,86,0.20,81,0.22,85,0.56,84,0.00,49
27023,Minnesota,Chippewa,0.35,70,-0.25,21,0.03,53,-0.06,26,0.06,61,-0.03,28
27025,Minnesota,Chisago,-0.26,27,0.05,54,0.03,55,-0.07,25,-0.14,23,0.11,86
27027,Minnesota,Clay,0.03,53,0.22,70,0.01,49,-0.04,33,-0.16,19,0.00,45
27029,Minnesota,Clearwater,0.96,85,0.53,82,0.14,76,0.15,80,0.64,86,-0.01,39
27031,Minnesota,Cook,0.74,81,0.58,84,-0.01,47,0.00,48,-0.02,45,-0.11,3
27033,Minnesota,Cottonwood,0.39,72,-0.01,49,0.15,78,-0.02,41,0.26,77,-0.04,20
27035,Minnesota,Crow Wing,0.12,60,0.03,52,0.14,74,-0.12,11,0.06,60,0.02,56
27037,Minnesota,Dakota,-0.52,11,-0.10,31,-0.21,7,-0.11,16,-0.29,8,0.13,87
27039,Minnesota,Dodge,-0.56,8,-0.51,4,-0.17,10,-0.10,17,-0.28,9,0.00,46
27041,Minnesota,Douglas,-0.04,44,0.07,56,-0.04,34,-0.12,10,-0.28,10,0.00,47
27043,Minnesota,Faribault,0.22,64,-0.18,24,-0.14,15,0.06,62,0.02,52,-0.01,44
27045,Minnesota,Fillmore,-0.46,16,-0.44,6,-0.21,6,-0.01,44,-0.03,44,-0.02,29
27047,Minnesota,Freeborn,-0.38,18,0.18,67,0.06,63,0.02,51,0.07,63,-0.01,43
27049,Minnesota,Goodhue,-0.20,33,-0.31,17,0.01,50,-0.08,21,-0.12,28,0.03,62
27051,Minnesota,Grant,0.00,47,0.22,69,0.00,48,0.17,82,-0.06,38,0.03,60
27053,Minnesota,Hennepin,-0.26,29,0.08,57,-0.20,8,-0.12,9,0.02,51,0.06,75
27055,Minnesota,Houston,-0.55,9,-0.07,38,-0.22,4,-0.16,4,0.03,55,0.00,51
27057,Minnesota,Hubbard,0.14,61,0.03,53,0.06,62,0.00,47,0.27,78,-0.02,34
27059,Minnesota,Isanti,-0.07,42,-0.07,39,0.04,58,-0.08,19,-0.05,39,0.06,71
27061,Minnesota,Itasca,0.67,79,0.29,72,0.14,75,-0.06,28,0.40,81,0.04,65
27063,Minnesota,Jackson,-0.18,35,0.09,61,-0.11,19,-0.06,29,-0.24,13,-0.02,33
27065,Minnesota,Kanabec,-0.24,31,0.18,68,0.19,80,0.06,61,0.35,80,0.02,57
27067,Minnesota,Kandiyohi,-0.31,23,-0.04,43,-0.09,24,-0.11,15,0.05,57,0.08,83
27069,Minnesota,Kittson,0.06,54,-0.12,28,-0.01,44,0.14,79,-0.07,36,-0.12,1
27071,Minnesota,Koochiching,0.19,62,0.56,83,0.08,66,0.09,68,0.61,85,-0.09,4
27073,Minnesota,Lac qui Parle,-0.55,10,-0.39,11,-0.08,26,-0.03,37,-0.01,48,-0.08,7
27075,Minnesota,Lake,0.41,73,0.10,62,-0.08,27,-0.06,27,-0.01,47,-0.05,13
27077,Minnesota,Lake of the Woods,0.00,49,-0.04,46,0.05,61,0.32,87,0.02,53,-0.12,2
27079,Minnesota,Le Sueur,-0.12,38,-0.41,7,0.04,56,-0.03,36,-0.10,30,0.03,63
27081,Minnesota,Lincoln,0.46,77,-0.51,5,-0.15,13,0.05,59,-0.07,37,-0.05,15
27083,Minnesota,Lyon,-0.27,26,-0.05,41,0.03,54,-0.12,8,-0.08,33,-0.03,23
27085,Minnesota,McLeod,-0.06,43,-0.30,18,-0.03,38,-0.02,42,-0.14,21,0.03,58
27087,Minnesota,Mahnomen,1.50,87,1.18,87,0.62,87,0.26,86,0.81,87,-0.02,38
27089,Minnesota,Marshall,-0.58,6,-0.05,42,-0.10,21,0.08,67,0.03,56,-0.07,8
27091,Minnesota,Martin,0.00,51,0.00,50,-0.07,30,0.08,63,0.09,66,0.06,74
27093,Minnesota,Meeker,-0.26,28,-0.20,23,-0.05,33,0.02,50,-0.15,20,0.03,61
27095,Minnesota,Mille Lacs,0.69,80,0.40,78,0.28,84,0.08,64,0.22,76,0.04,64
27097,Minnesota,Morrison,-0.21,32,-0.11,30,0.05,60,-0.01,43,0.12,70,0.01,52
27099,Minnesota,Mower,-0.19,34,0.23,71,0.07,64,0.05,60,0.09,65,0.02,55
27101,Minnesota,Murray,0.10,57,0.06,55,-0.10,20,0.04,56,-0.08,32,-0.05,16
27103,Minnesota,Nicollet,-0.68,4,-0.25,20,-0.15,12,-0.15,6,-0.35,6,-0.02,35
27105,Minnesota,Nobles,-0.36,20,-0.10,33,0.10,70,0.12,75,0.15,71,-0.02,37
27107,Minnesota,Norman,0.42,74,0.48,80,0.10,71,-0.05,30,0.08,64,-0.04,19
27109,Minnesota,Olmsted,-0.49,12,-0.18,26,-0.20,9,-0.37,1,-0.24,12,-0.04,21
27111,Minnesota,Otter Tail,0.08,56,-0.09,37,-0.13,17,-0.03,39,-0.01,46,-0.03,27
27113,Minnesota,Pennington,0.24,65,-0.04,44,-0.04,35,0.04,54,0.06,59,-0.07,10
27115,Minnesota,Pine,0.26,66,0.38,76,0.32,85,0.17,83,0.35,79,0.09,84
