,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,0.34,69,-0.38,13,-0.04,36,0.04,58,-0.03,43,-0.03,24
27119,Minnesota,Polk,0.49,78,0.12,64,0.21,82,0.04,55,0.11,68,0.06,72
27121,Minnesota,Pope,0.10,59,-0.12,29,-0.12,18,0.08,66,-0.27,11,-0.02,30
27123,Minnesota,Ramsey,-0.01,46,0.32,73,-0.15,14,-0.07,23,0.19,72,0.08,81
27125,Minnesota,Red Lake,-0.13,37,-0.76,1,0.09,68,0.15,81,0.09,67,-0.07,11
27127,Minnesota,Redwood,0.94,83,0.16,65,0.09,67,0.13,78,-0.04,41,-0.06,12
27129,Minnesota,Renville,0.10,58,0.09,60,-0.09,25,0.10,72,0.01,50,-0.01,42
27131,Minnesota,Rice,-0.47,14,0.00,51,-0.06,32,-0.08,22,-0.04,40,0.07,80
27133,Minnesota,Rock,-0.02,45,-0.03,48,-0.21,5,0.02,52,-0.22,16,-0.02,31
27135,Minnesota,Roseau,0.28,68,-0.34,15,-0.01,42,0.04,57,-0.10,31,-0.09,5
27137,Minnesota,St. Louis,0.27,67,0.38,77,0.15,77,-0.12,13,0.19,74,0.05,66
27139,Minnesota,Scott,-0.74,3,-0.40,8,-0.33,2,-0.05,32,-0.38,3,0.05,67
27141,Minnesota,Sherburne,-0.29,24,-0.38,12,-0.14,16,-0.08,20,-0.32,7,0.07,78
27143,Minnesota,Sibley,-0.13,36,-0.40,9,-0.01,43,0.11,73,-0.04,42,0.00,48
27145,Minnesota,Stearns,-0.37,19,0.08,58,-0.06,31,-0.15,5,-0.12,25,0.02,54
27147,Minnesota,Steele,-0.28,25,-0.03,47,-0.07,29,-0.12,12,-0.12,26,0.11,85
27149,Minnesota,Stevens,-0.88,1,-0.10,35,-0.01,45,0.09,69,-0.35,5,-0.05,18
27151,Minnesota,Swift,-0.47,15,-0.29,19,0.14,73,-0.01,45,0.03,54,-0.05,17
27153,Minnesota,Todd,-0.11,40,-0.04,45,0.18,79,0.12,77,0.12,69,-0.01,41
27155,Minnesota,Traverse,0.00,49,-0.18,27,0.01,51,0.01,49,-0.08,34,-0.09,6
27157,Minnesota,Wabasha,-0.44,17,-0.34,16,-0.07,28,-0.14,7,-0.23,15,-0.01,40
27159,Minnesota,Wadena,0.87,82,0.52,81,0.02,52,0.09,70,0.21,75,-0.02,36
27161,Minnesota,Waseca,-0.58,5,-0.07,40,0.05,59,-0.07,24,-0.07,35,0.00,50
27163,Minnesota,Washington,-0.57,7,-0.56,2,-0.33,3,-0.21,2,-0.41,2,0.06,77
27165,Minnesota,Watonwan,0.07,55,-0.09,36,-0.02,39,0.12,76,0.19,73,-0.04,22
27167,Minnesota,Wilkin,0.19,63,-0.21,22,-0.04,37,0.08,65,-0.24,14,-0.05,14
27169,Minnesota,Winona,-0.10,41,-0.10,34,0.04,57,-0.04,35,-0.14,22,0.08,82
27171,Minnesota,Wright,-0.49,13,-0.36,14,-0.10,23,-0.05,31,-0.37,4,0.06,76
27173,Minnesota,Yellow Medicine,0.00,52,0.10,63,-0.02,41,0.11,74,-0.13,24,-0.07,9
