,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
27117,Minnesota,Pipestone,0.46,77,0.20,68,0.00,37,0.05,61,-0.09,35,0.05,79
27119,Minnesota,Polk,0.26,65,-0.12,29,0.23,83,0.05,59,0.02,54,-0.02,23
27121,Minnesota,Pope,0.33,69,-0.18,26,-0.10,22,0.02,52,-0.20,19,0.02,61
27123,Minnesota,Ramsey,0.05,55,0.33,80,-0.12,21,-0.08,19,0.30,79,0.02,62
27125,Minnesota,Red Lake,-0.08,46,-0.24,15,0.08,67,0.05,60,0.09,61,-0.06,10
27127,Minnesota,Redwood,-0.06,48,-0.64,2,0.08,69,0.11,78,-0.03,42,0.00,47
27129,Minnesota,Renville,0.76,82,0.06,52,0.05,60,0.03,54,0.08,60,0.00,43
27131,Minnesota,Rice,-0.55,6,0.10,56,-0.32,2,-0.10,14,0.06,58,-0.02,24
27133,Minnesota,Rock,0.44,75,-0.09,33,-0.19,11,-0.09,18,-0.14,27,-0.01,34
27135,Minnesota,Roseau,-0.19,38,-0.08,34,-0.03,33,0.13,82,-0.25,14,-0.09,4
27137,Minnesota,St. Louis,0.35,70,0.19,67,0.06,64,-0.13,7,0.16,70,-0.04,16
27139,Minnesota,Scott,-0.64,3,-0.03,40,-0.27,4,-0.08,20,-0.46,3,0.05,78
27141,Minnesota,Sherburne,-0.46,11,0.10,57,0.13,78,-0.05,29,-0.30,8,0.07,83
27143,Minnesota,Sibley,-0.29,27,0.04,49,0.03,51,0.08,68,-0.01,46,0.02,55
27145,Minnesota,Stearns,-0.52,8,-0.03,41,-0.14,16,-0.06,27,-0.18,23,0.04,76
27147,Minnesota,Steele,-0.40,13,-0.37,8,-0.16,12,-0.11,11,-0.13,31,0.02,59
27149,Minnesota,Stevens,0.42,74,-0.07,35,-0.04,30,0.13,83,-0.33,4,-0.06,11
27151,Minnesota,Swift,-0.13,43,-0.06,36,0.15,79,-0.05,31,0.00,48,-0.03,19
27153,Minnesota,Todd,0.00,49,0.04,50,0.01,42,0.11,81,0.23,75,0.03,67
27155,Minnesota,Traverse,1.12,86,0.00,44,0.05,59,0.03,53,-0.16,24,-0.07,9
27157,Minnesota,Wabasha,-0.13,42,0.08,55,-0.19,10,-0.13,6,-0.20,20,-0.03,20
27159,Minnesota,Wadena,0.37,71,0.60,85,0.11,76,0.08,69,0.25,76,0.02,56
27161,Minnesota,Waseca,-0.60,4,-0.23,17,0.06,62,0.01,46,-0.09,34,0.00,36
27163,Minnesota,Washington,-0.52,9,-0.18,27,-0.25,5,-0.25,2,-0.46,2,0.03,65
27165,Minnesota,Watonwan,0.45,76,-0.52,3,0.12,77,0.08,66,0.21,72,0.00,37
27167,Minnesota,Wilkin,0.05,56,-0.42,6,-0.05,28,0.05,62,-0.29,9,-0.05,15
27169,Minnesota,Winona,-0.33,24,-0.24,16,-0.16,13,-0.01,43,-0.14,25,0.00,53
27171,Minnesota,Wright,-0.44,12,-0.21,21,-0.15,14,-0.04,33,-0.32,5,0.09,87
27173,Minnesota,Yellow Medicine,-0.84,1,0.13,60,0.21,82,-0.02,41,-0.21,18,-0.01,30
