,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.40,72,0.12,58,-0.09,25,0.11,77,0.40,82,0.08,84
27003,Minnesota,Anoka,-0.34,21,0.26,75,0.01,43,-0.01,42,-0.14,29,0.04,74
27005,Minnesota,Becker,0.86,83,-0.41,7,0.03,50,0.06,65,0.12,65,-0.01,28
27007,Minnesota,Beltrami,0.63,81,-0.02,42,0.35,86,0.08,70,0.66,85,-0.02,27
27009,Minnesota,Benton,-0.17,39,0.29,77,-0.09,24,0.11,79,-0.13,30,0.06,82
27011,Minnesota,Big Stone,0.31,68,0.07,53,-0.04,29,0.00,45,0.03,55,-0.05,14
27013,Minnesota,Blue Earth,-0.22,33,-0.10,31,0.00,36,-0.11,10,-0.18,22,0.03,68
27015,Minnesota,Brown,-0.11,44,-0.31,10,0.09,70,-0.10,16,-0.11,33,0.00,48
27017,Minnesota,Carlton,0.58,79,0.05,51,-0.02,34,0.01,47,0.06,59,-0.01,33
27019,Minnesota,Carver,-0.74,2,-0.18,24,-0.25,6,-0.14,5,-0.47,1,0.04,69
27021,Minnesota,Cass,0.99,84,0.55,84,0.03,49,0.19,85,0.72,86,0.00,45
27023,Minnesota,Chippewa,-0.33,23,0.32,79,0.29,85,0.03,56,-0.07,37,0.02,60
27025,Minnesota,Chisago,-0.38,18,0.17,65,0.09,73,-0.05,28,-0.08,36,0.08,86
27027,Minnesota,Clay,-0.21,35,0.23,70,0.02,47,-0.07,24,-0.20,21,-0.01,32
27029,Minnesota,Clearwater,0.57,78,-0.03,39,0.18,80,0.41,87,0.59,84,0.03,64
27031,Minnesota,Cook,-0.29,28,-0.04,38,-0.12,20,0.03,55,0.11,63,-0.08,6
27033,Minnesota,Cottonwood,0.21,64,0.26,74,0.04,54,-0.07,22,0.00,47,-0.02,25
27035,Minnesota,Crow Wing,-0.32,26,0.33,81,-0.07,26,-0.07,25,0.16,69,0.02,57
27037,Minnesota,Dakota,-0.57,5,-0.05,37,-0.21,7,-0.10,15,-0.28,12,0.03,66
27039,Minnesota,Dodge,-0.38,16,-0.30,11,0.08,66,-0.07,21,-0.26,13,0.00,46
27041,Minnesota,Douglas,-0.23,31,-0.16,28,-0.03,31,-0.16,3,-0.24,15,0.04,73
27043,Minnesota,Faribault,-0.28,29,0.25,72,-0.03,32,0.10,76,0.14,66,0.00,52
27045,Minnesota,Fillmore,-0.21,36,-0.45,5,-0.13,17,-0.02,37,-0.02,44,0.00,44
27047,Minnesota,Freeborn,-0.23,32,0.42,83,0.09,72,0.01,49,0.22,74,0.00,49
27049,Minnesota,Goodhue,0.17,63,-0.24,13,0.00,40,-0.09,17,-0.14,26,0.00,42
27051,Minnesota,Grant,0.62,80,-0.20,22,0.02,45,0.04,58,0.04,57,0.06,80
27053,Minnesota,Hennepin,-0.15,40,0.24,71,-0.20,9,-0.13,8,0.11,64,0.02,58
27055,Minnesota,Houston,0.01,52,-0.10,32,-0.21,8,-0.16,4,-0.04,40,-0.04,18
27057,Minnesota,Hubbard,0.12,59,0.02,47,0.03,53,-0.01,44,0.29,78,0.00,38
27059,Minnesota,Isanti,-0.38,15,0.30,78,0.02,44,-0.02,39,0.02,51,0.06,81
27061,Minnesota,Itasca,0.30,67,0.03,48,0.04,58,-0.03,36,0.21,73,-0.01,35
27063,Minnesota,Jackson,-0.21,34,0.25,73,-0.14,15,-0.02,40,-0.30,6,-0.01,31
27065,Minnesota,Kanabec,0.08,57,0.07,54,-0.01,35,0.06,64,0.45,83,0.04,72
27067,Minnesota,Kandiyohi,-0.34,22,-0.24,14,0.06,61,-0.11,9,0.16,71,0.04,71
27069,Minnesota,Kittson,-0.25,30,0.00,44,0.11,75,0.03,57,-0.13,32,-0.12,1
27071,Minnesota,Koochiching,-0.07,47,0.16,63,0.02,48,0.08,67,0.28,77,-0.07,8
27073,Minnesota,Lac qui Parle,0.17,62,-0.68,1,0.09,71,-0.02,38,-0.23,17,-0.05,13
27075,Minnesota,Lake,0.02,53,0.87,87,0.06,63,-0.10,13,-0.04,41,-0.07,7
27077,Minnesota,Lake of the Woods,-0.35,20,0.00,44,0.04,56,0.18,84,0.00,49,-0.09,3
27079,Minnesota,Le Sueur,-0.38,17,-0.22,20,-0.09,23,-0.04,32,-0.07,38,0.04,70
27081,Minnesota,Lincoln,-0.15,41,-0.18,25,0.10,74,-0.04,34,-0.23,16,-0.02,22
27083,Minnesota,Lyon,0.01,51,-0.20,23,0.00,38,-0.06,26,-0.14,28,0.00,51
27085,Minnesota,McLeod,-0.38,14,-0.46,4,-0.13,19,0.02,51,-0.02,45,0.03,63
27087,Minnesota,Mahnomen,1.50,87,0.28,76,0.70,87,0.31,86,0.78,87,-0.03,21
27089,Minnesota,Marshall,0.08,58,0.21,69,0.02,46,0.01,48,0.02,53,-0.09,5
27091,Minnesota,Martin,0.13,61,-0.11,30,0.04,55,0.01,50,0.03,56,0.00,50
27093,Minnesota,Meeker,0.00,50,-0.37,9,0.08,68,0.05,63,0.01,50,0.04,75
27095,Minnesota,Mille Lacs,1.11,85,0.14,61,0.24,84,0.10,75,0.37,80,0.04,77
27097,Minnesota,Morrison,0.12,60,0.62,86,0.07,65,0.10,74,0.15,68,0.00,40
27099,Minnesota,Mower,-0.37,19,0.15,62,0.00,39,0.09,73,0.15,67,0.01,54
27101,Minnesota,Murray,-0.11,45,0.12,59,0.04,57,0.09,72,-0.28,11,0.00,39
27103,Minnesota,Nicollet,-0.46,10,-0.23,18,-0.34,1,-0.10,12,-0.30,7,-0.01,29
27105,Minnesota,Nobles,-0.53,7,-0.22,19,-0.13,18,0.08,71,0.09,62,-0.02,26
27107,Minnesota,Norman,0.03,54,0.37,82,0.20,81,-0.03,35,0.02,52,-0.06,12
27109,Minnesota,Olmsted,-0.32,25,-0.25,12,-0.28,3,-0.38,1,-0.28,10,-0.04,17
27111,Minnesota,Otter Tail,-0.20,37,0.00,43,-0.05,27,-0.05,30,-0.03,43,0.00,41
27113,Minnesota,Pennington,0.26,66,0.16,64,0.01,41,-0.07,23,-0.04,39,-0.10,2
27115,Minnesota,Pine,0.40,73,0.19,66,0.03,52,0.11,80,0.37,81,0.08,85
