,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27115,Minnesota,Pine,0.49,74,0.58,83,0.23,83,0.15,78,0.46,83,0.05,76
27117,Minnesota,Pipestone,0.14,56,0.01,51,-0.05,32,0.05,61,0.02,54,0.01,51
27119,Minnesota,Polk,0.64,80,-0.04,46,0.16,77,-0.02,41,0.00,50,0.01,46
27121,Minnesota,Pope,0.36,68,0.18,66,-0.10,20,0.04,59,-0.27,8,0.05,74
27123,Minnesota,Ramsey,-0.01,48,0.43,77,-0.04,39,-0.09,21,0.24,75,0.00,42
27125,Minnesota,Red Lake,-0.06,46,-0.51,3,0.15,75,0.12,74,0.02,52,-0.06,8
27127,Minnesota,Redwood,0.46,73,-0.11,38,0.14,73,0.04,56,-0.01,46,0.01,45
27129,Minnesota,Renville,0.62,79,0.04,52,0.00,49,0.03,53,0.08,61,-0.01,39
27131,Minnesota,Rice,-0.37,22,-0.01,49,-0.13,15,-0.12,15,-0.01,47,-0.03,22
27133,Minnesota,Rock,-0.14,42,-0.20,34,-0.15,12,-0.01,42,-0.11,29,-0.03,25
27135,Minnesota,Roseau,-0.04,47,-0.28,20,0.15,74,0.08,66,-0.19,16,-0.05,14
27137,Minnesota,St. Louis,0.36,67,0.44,78,0.16,78,-0.13,13,0.17,73,-0.01,32
27139,Minnesota,Scott,-0.78,3,-0.36,8,-0.28,4,-0.04,31,-0.44,2,0.08,85
27141,Minnesota,Sherburne,-0.39,19,-0.24,25,-0.03,40,-0.07,25,-0.31,7,0.05,75
27143,Minnesota,Sibley,-0.24,35,-0.20,33,-0.04,34,0.15,79,0.05,56,0.06,78
27145,Minnesota,Stearns,-0.40,16,-0.10,39,-0.13,16,-0.08,24,-0.16,20,0.01,52
27147,Minnesota,Steele,-0.21,40,-0.08,42,-0.03,41,-0.10,16,-0.04,41,0.01,50
27149,Minnesota,Stevens,-0.78,4,-0.33,13,-0.02,45,0.13,77,-0.33,6,-0.07,6
27151,Minnesota,Swift,-0.26,32,-0.23,27,-0.04,37,0.03,52,-0.07,37,-0.03,24
27153,Minnesota,Todd,0.10,54,-0.06,43,0.08,63,0.24,86,0.20,74,0.01,49
27155,Minnesota,Traverse,-0.10,44,-0.22,28,0.08,62,0.05,62,0.02,53,-0.07,5
27157,Minnesota,Wabasha,-0.42,14,-0.30,17,-0.16,10,-0.16,4,-0.23,12,0.01,43
27159,Minnesota,Wadena,0.16,57,0.51,81,0.09,64,0.03,54,0.27,78,0.01,48
27161,Minnesota,Waseca,-0.32,28,-0.30,16,0.02,54,-0.02,40,-0.06,40,-0.03,20
27163,Minnesota,Washington,-0.71,5,-0.47,4,-0.33,2,-0.25,2,-0.43,3,0.06,81
27165,Minnesota,Watonwan,-0.25,34,-0.28,19,-0.05,28,0.12,72,0.10,66,-0.01,33
27167,Minnesota,Wilkin,-0.44,12,-0.34,10,-0.04,36,0.08,65,-0.15,24,-0.09,4
27169,Minnesota,Winona,-0.36,23,0.14,61,0.03,55,-0.05,27,-0.11,31,0.03,67
27171,Minnesota,Wright,-0.49,9,-0.38,7,-0.04,38,-0.05,26,-0.38,5,0.04,72
27173,Minnesota,Yellow Medicine,0.16,58,-0.17,35,-0.10,21,0.02,49,-0.14,25,-0.05,13
