,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27113,Minnesota,Pennington,0.00,57,-0.17,32,-0.13,15,-0.11,14,0.05,57,0.01,52
27115,Minnesota,Pine,0.36,76,0.53,81,0.34,85,0.17,83,0.33,78,0.09,81
27117,Minnesota,Pipestone,0.31,72,-0.16,33,0.00,50,0.06,64,0.01,49,-0.01,41
27119,Minnesota,Polk,0.16,67,0.06,55,0.16,77,-0.02,33,0.12,69,0.06,76
27121,Minnesota,Pope,-0.16,35,-0.09,42,-0.16,12,-0.01,42,-0.30,7,-0.04,17
27123,Minnesota,Ramsey,-0.04,48,0.51,80,-0.10,20,-0.07,27,0.24,75,0.07,79
27125,Minnesota,Red Lake,0.00,50,-0.64,1,0.22,81,0.06,65,0.09,65,-0.06,11
27127,Minnesota,Redwood,0.16,66,0.42,75,0.03,55,0.05,61,0.00,48,-0.06,13
27129,Minnesota,Renville,0.04,60,0.47,79,0.03,58,0.03,55,0.04,55,-0.01,34
27131,Minnesota,Rice,-0.34,16,-0.28,21,-0.12,17,-0.08,21,0.03,53,0.07,80
27133,Minnesota,Rock,-0.08,44,0.08,56,-0.20,7,-0.15,7,-0.17,18,0.03,66
27135,Minnesota,Roseau,0.03,58,-0.16,34,0.05,60,0.19,84,-0.16,21,0.00,47
27137,Minnesota,St. Louis,0.20,69,0.42,76,0.11,71,-0.11,10,0.12,68,0.02,63
27139,Minnesota,Scott,-0.52,5,-0.46,7,-0.24,4,-0.07,26,-0.36,4,0.10,82
27141,Minnesota,Sherburne,-0.40,13,-0.40,9,-0.04,35,-0.02,34,-0.26,11,0.03,67
27143,Minnesota,Sibley,-0.22,29,-0.55,4,0.03,56,0.16,82,-0.13,30,-0.01,42
27145,Minnesota,Stearns,-0.30,22,0.13,63,-0.03,37,-0.09,19,-0.05,39,0.00,46
27147,Minnesota,Steele,-0.31,19,-0.09,41,-0.11,19,-0.11,11,-0.05,38,0.05,72
27149,Minnesota,Stevens,-0.57,3,-0.19,27,-0.13,14,-0.08,23,-0.37,3,-0.04,19
27151,Minnesota,Swift,0.68,82,-0.21,25,0.17,80,0.10,71,0.09,64,-0.06,8
