,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27115,Minnesota,Pine,0.47,72,-0.07,34,0.08,60,0.14,78,0.36,78,0.07,81
27117,Minnesota,Pipestone,0.40,70,0.24,72,-0.03,33,0.02,51,-0.13,26,0.04,70
27119,Minnesota,Polk,0.48,73,0.01,49,0.17,77,-0.01,38,0.00,47,0.01,48
27121,Minnesota,Pope,-0.27,26,0.11,60,-0.20,9,0.09,70,-0.07,37,-0.05,12
27123,Minnesota,Ramsey,0.14,55,0.24,71,-0.15,15,-0.12,9,0.19,72,-0.03,25
27125,Minnesota,Red Lake,0.00,49,0.04,50,-0.02,38,0.06,64,0.12,67,0.00,43
27127,Minnesota,Redwood,0.64,77,-0.33,11,-0.01,40,-0.03,33,-0.02,44,0.04,71
27129,Minnesota,Renville,0.06,52,-0.06,35,0.15,74,0.08,69,0.11,64,-0.03,24
27131,Minnesota,Rice,-0.54,10,-0.05,37,-0.27,4,-0.01,41,-0.08,33,0.03,62
27133,Minnesota,Rock,-0.11,44,0.20,66,-0.04,31,-0.09,16,-0.35,5,0.00,42
27135,Minnesota,Roseau,-0.12,42,-0.07,32,0.14,73,0.10,72,-0.08,35,-0.05,15
27137,Minnesota,St. Louis,0.39,69,0.01,47,0.10,65,-0.19,3,0.09,61,0.03,65
27139,Minnesota,Scott,-0.57,7,-0.35,10,-0.05,29,-0.04,31,-0.44,1,-0.04,21
27141,Minnesota,Sherburne,-0.40,20,0.09,56,0.00,42,0.03,55,-0.22,17,-0.05,14
27143,Minnesota,Sibley,-0.58,6,-0.14,24,0.01,46,0.11,73,0.05,58,-0.02,29
27145,Minnesota,Stearns,-0.44,18,0.08,53,-0.15,16,-0.06,24,-0.15,23,-0.08,3
27147,Minnesota,Steele,-0.63,4,-0.43,5,0.12,70,-0.10,12,0.00,50,-0.05,9
27149,Minnesota,Stevens,-0.26,30,0.09,58,-0.24,7,0.24,85,-0.24,15,0.00,46
27151,Minnesota,Swift,0.37,68,-0.41,6,0.04,53,0.03,53,-0.10,30,0.02,60
27153,Minnesota,Todd,0.49,74,0.23,69,0.15,75,0.08,68,0.18,70,-0.07,5
27155,Minnesota,Traverse,,NR,,NR,,NR,,NR,,NR,,NR
27157,Minnesota,Wabasha,-0.33,23,0.76,84,-0.18,11,-0.04,30,-0.10,28,-0.02,32
27159,Minnesota,Wadena,1.00,82,0.36,76,-0.26,5,0.01,47,0.33,76,-0.02,27
27161,Minnesota,Waseca,-0.24,33,-0.09,29,0.11,69,-0.06,27,-0.02,43,-0.06,7
27163,Minnesota,Washington,-0.55,9,-0.19,19,-0.29,3,-0.21,2,-0.41,3,0.06,77
27165,Minnesota,Watonwan,0.20,58,0.09,57,0.06,56,0.21,81,0.16,68,-0.05,12
27167,Minnesota,Wilkin,-0.47,15,-0.03,40,-0.03,36,-0.01,40,-0.30,11,0.07,82
27169,Minnesota,Winona,-0.15,41,-0.56,4,0.11,67,0.01,46,-0.13,27,0.06,76
27171,Minnesota,Wright,-0.30,24,-0.18,21,-0.11,17,0.05,58,-0.27,13,0.04,69
27173,Minnesota,Yellow Medicine,0.66,78,0.41,81,-0.06,24,0.04,57,-0.28,12,-0.04,22
